conc,rain_setting,exp,rep,Attribute,Value
0.1,1,1,1,cloudy,0.099986095
0.1,1,1,1,ddpcRquant,0.099986095
0.1,1,1,1,umbrella,0.099986095
0.1,1,1,1,em_t,0.099986095
0.1,1,1,1,em_tskew,0.099986095
0.1,1,1,2,cloudy,0.099986095
0.1,1,1,2,ddpcRquant,0.099986095
0.1,1,1,2,umbrella,0.099986095
0.1,1,1,2,em_t,0.099986095
0.1,1,1,2,em_tskew,0.099986095
0.1,1,1,3,cloudy,0.099986095
0.1,1,1,3,ddpcRquant,0.099986095
0.1,1,1,3,umbrella,0.099986095
0.1,1,1,3,em_t,0.099986095
0.1,1,1,3,em_tskew,0.099986095
0.1,1,2,1,cloudy,0.099986095
0.1,1,2,1,ddpcRquant,0.099986095
0.1,1,2,1,umbrella,0.099986095
0.1,1,2,1,em_t,0.099986095
0.1,1,2,1,em_tskew,0.099986095
0.1,1,2,2,cloudy,0.099986095
0.1,1,2,2,ddpcRquant,0.099986095
0.1,1,2,2,umbrella,0.099986095
0.1,1,2,2,em_t,0.099986095
0.1,1,2,2,em_tskew,0.099986095
0.1,1,2,3,cloudy,0.099986095
0.1,1,2,3,ddpcRquant,0.099986095
0.1,1,2,3,umbrella,0.099986095
0.1,1,2,3,em_t,0.099986095
0.1,1,2,3,em_tskew,0.099986095
0.1,1,3,1,cloudy,0.099986095
0.1,1,3,1,ddpcRquant,0.099986095
0.1,1,3,1,umbrella,0.099986095
0.1,1,3,1,em_t,0.099986095
0.1,1,3,1,em_tskew,0.099986095
0.1,1,3,2,cloudy,0.099986095
0.1,1,3,2,ddpcRquant,0.099986095
0.1,1,3,2,umbrella,0.100041354
0.1,1,3,2,em_t,0.099986095
0.1,1,3,2,em_tskew,0.099986095
0.1,1,3,3,cloudy,0.099986095
0.1,1,3,3,ddpcRquant,0.099986095
0.1,1,3,3,umbrella,0.099986095
0.1,1,3,3,em_t,0.099986095
0.1,1,3,3,em_tskew,0.099986095
0.1,1,4,1,cloudy,0.099986095
0.1,1,4,1,ddpcRquant,0.099986095
0.1,1,4,1,umbrella,0.100151882
0.1,1,4,1,em_t,0.099986095
0.1,1,4,1,em_tskew,0.099986095
0.1,1,4,2,cloudy,0.099986095
0.1,1,4,2,ddpcRquant,0.099986095
0.1,1,4,2,umbrella,0.099986095
0.1,1,4,2,em_t,0.099986095
0.1,1,4,2,em_tskew,0.099986095
