"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18096","1","1903","0.100041354180226"
"0.1","1","3","3","20000","18097","1","1902","0.0999860948759269"
"0.1","1","4","1","20000","18094","3","1903","0.100151881950441"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","0","1903","0.0999860948759269"
"0.1","2","1","1","20000","18101","20","1879","0.0997650881895751"
"0.1","2","1","2","20000","18092","28","1880","0.100262421938394"
"0.1","2","1","3","20000","18097","8","1895","0.0999860948759269"
"0.1","2","2","1","20000","18108","21","1871","0.0993784439802789"
"0.1","2","2","2","20000","18096","28","1876","0.100041354180226"
"0.1","2","2","3","20000","18099","15","1886","0.0998755854272566"
"0.1","2","3","1","20000","18094","27","1879","0.100151881950441"
"0.1","2","3","2","20000","18100","13","1887","0.0998203352822109"
"0.1","2","3","3","20000","18087","32","1881","0.100538825378613"
"0.1","2","4","1","20000","18086","37","1877","0.100594115235703"
"0.1","2","4","2","20000","18076","42","1882","0.101147182004958"
"0.1","2","4","3","20000","18085","28","1887","0.10064940814993"
"0.1","2","5","1","20000","18058","68","1874","0.102143473668704"
"0.1","2","5","2","20000","18093","28","1879","0.100207150417032"
"0.1","2","5","3","20000","18092","34","1874","0.100262421938394"
"0.1","3","1","1","20000","18057","176","1767","0.102198852320248"
"0.1","3","1","2","20000","18030","210","1760","0.103695236338765"
"0.1","3","1","3","20000","18055","178","1767","0.10230961882457"
"0.1","3","2","1","20000","18087","133","1780","0.100538825378613"
"0.1","3","2","2","20000","18039","183","1778","0.10319619282845"
"0.1","3","2","3","20000","18089","152","1759","0.100428254834493"
"0.1","3","3","1","20000","18065","161","1774","0.101755908954387"
"0.1","3","3","2","20000","18115","122","1763","0.0989919492069504"
"0.1","3","3","3","20000","18071","154","1775","0.101423830137964"
"0.1","3","4","1","20000","18060","148","1792","0.102032725565152"
"0.1","3","4","2","20000","18084","137","1779","0.100704704121632"
