"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","0","1903","0.0999860948759269"
"0.1","2","1","1","20000","18107","0","1893","0.0994336697154855"
"0.1","2","1","2","20000","18113","0","1887","0.0991023610432115"
"0.1","2","1","3","20000","18108","0","1892","0.0993784439802789"
"0.1","2","2","1","20000","18107","0","1893","0.0994336697154855"
"0.1","2","2","2","20000","18112","0","1888","0.0991575715332186"
"0.1","2","2","3","20000","18116","0","1884","0.0989367478600235"
"0.1","2","3","1","3999","3998","0","1","0.000250093786472949"
"0.1","2","3","2","3999","3999","0","0","0"
"0.1","2","3","3","3999","5","0","3994","6.68436169641272"
"0.1","2","4","1","20000","18112","0","1888","0.0991575715332186"
"0.1","2","4","2","20000","18105","0","1895","0.0995441303363865"
"0.1","2","4","3","20000","18109","0","1891","0.0993232212947856"
"0.1","2","5","1","20000","18107","0","1893","0.0994336697154855"
"0.1","2","5","2","20000","18110","0","1890","0.099268001658669"
"0.1","2","5","3","20000","18107","0","1893","0.0994336697154855"
"0.1","3","1","1","20000","18150","0","1850","0.0970617128431312"
"0.1","3","1","2","20000","18172","0","1828","0.0958503256568342"
"0.1","3","1","3","20000","18166","0","1834","0.0961805584739692"
"0.1","3","2","1","20000","18154","0","1846","0.0968413514495556"
"0.1","3","2","2","20000","18155","0","1845","0.0967862686876919"
"0.1","3","2","3","20000","18162","0","1838","0.0964007742863544"
"0.1","3","3","1","20000","18154","0","1846","0.0968413514495556"
"0.1","3","3","2","20000","18153","0","1847","0.0968964372456969"
"0.1","3","3","3","20000","18161","0","1839","0.0964558358176295"
"0.1","3","4","1","20000","18161","0","1839","0.0964558358176295"
