"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","3","20000","18097","1","1902","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18097","1","1902","0.0999860948759269"
"0.1","1","2","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18097","1","1902","0.0999860948759269"
"0.1","1","4","1","20000","18097","1","1902","0.0999860948759269"
"0.1","1","4","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","3","20000","18097","1","1902","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","1","1902","0.0999860948759269"
"0.1","2","1","1","20000","18149","327","1524","0.0971168107797274"
"0.1","2","1","2","20000","18124","373","1503","0.0984952467490992"
"0.1","2","1","3","20000","18173","1299","528","0.0957952974548668"
"0.1","2","2","1","20000","18109","0","1891","0.0993232212947856"
"0.1","2","2","2","20000","18130","245","1625","0.0981642487872313"
"0.1","2","2","3","20000","18146","1322","532","0.0972821228065538"
"0.1","2","3","1","0","0","0","0","NaN"
"0.1","2","3","2","0","0","0","0","NaN"
"0.1","2","3","3","0","0","0","0","NaN"
"0.1","2","4","1","20000","18164","824","1012","0.0962906603182863"
"0.1","2","4","2","20000","18129","250","1621","0.0982194075064599"
"0.1","2","4","3","20000","18129","0","1871","0.0982194075064599"
"0.1","2","5","1","20000","18125","234","1641","0.0984400728132525"
"0.1","2","5","2","20000","18153","993","854","0.0968964372456969"
"0.1","2","5","3","20000","18105","86","1809","0.0995441303363865"
"0.1","3","1","1","20000","18251","0","1749","0.0915124005061075"
"0.1","3","1","2","20000","18414","596","990","0.0826210286883369"
"0.1","3","1","3","20000","18226","44","1730","0.0928831274800559"
"0.1","3","2","1","20000","18348","397","1255","0.0862116968190654"
"0.1","3","2","2","20000","18398","441","1161","0.0834903104990254"
"0.1","3","2","3","20000","18426","584","990","0.0819695628672507"
"0.1","3","3","1","20000","18454","905","641","0.0804511243976269"
"0.1","3","3","2","20000","18182","47","1771","0.0953001798543245"
"0.1","3","3","3","20000","18402","674","924","0.0832729191938215"
"0.1","3","4","1","20000","18379","520","1101","0.0845235650706539"
"0.1","3","4","2","20000","18207","0","1793","0.0939261380321632"
