conc,rain_setting,exp,rep,cloudy,umbrella,em_tskew,em_t,ddpcRquant
0.1,1,1,1,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,1,2,0.099986095,0.100041354,0.099986095,0.099986095,0.099986095
0.1,1,1,3,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,2,1,0.099986095,0.099986095,0.099986095,0.099986095,0.100041354
0.1,1,2,2,0.099986095,0.100041354,0.099986095,0.099986095,0.100041354
0.1,1,2,3,0.099986095,0.100096617,0.099986095,0.099986095,0.099986095
0.1,1,3,1,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,3,2,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,3,3,0.099986095,0.100317697,0.099986095,0.099986095,0.099986095
0.1,1,4,1,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,4,2,0.099986095,0.100041354,0.099986095,0.099986095,0.100041354
0.1,1,4,3,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,5,1,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,5,2,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,1,5,3,0.099986095,0.099986095,0.099986095,0.099986095,0.099986095
0.1,2,1,1,0.097116811,0.099930839,0.09943367,0.099378444,0.098826354
0.1,2,1,2,0.098495247,0.099820335,0.099102361,0.099047154,0.098826354
0.1,2,1,3,0.095795297,0.099654603,0.099378444,0.099212785,0.098660787
0.1,2,2,1,0.099323221,0.100041354,0.09943367,0.099323221,0.099157572
0.1,2,2,2,0.098164249,0.100317697,0.099157572,0.099102361,0.098936748
0.1,2,2,3,0.097282123,0.101755909,0.098936748,0.098936748,0.098384902
0.1,2,3,1,,0,0.000250094,2.147470351,0.000250094
0.1,2,3,2,,0,0,1.95167819,0
0.1,2,3,3,,0,6.684361696,2.834214095,0.000250094
0.1,2,4,1,0.09629066,0.099654603,0.099157572,0.099102361,0.098384902
0.1,2,4,2,0.098219408,0.099820335,0.09954413,0.099488899,0.098771162
0.1,2,4,3,0.098219408,0.099820335,0.099323221,0.099323221,0.098440073
0.1,2,5,1,0.098440073,0.09943367,0.09943367,0.09943367,0.098771162
0.1,2,5,2,0.096896437,0.099820335,0.099268002,0.099212785,0.098384902
0.1,2,5,3,0.09954413,0.09954413,0.09943367,0.09943367,0.098991949
0.1,3,1,1,0.091512401,0.102697398,0.097061713,0.097227016,0.090252989
0.1,3,1,2,0.082621029,0.09805394,0.095850326,0.0965109,0.09123848
0.1,3,1,3,0.092883127,0.098771162,0.096180558,0.096786269,0.090034123
0.1,3,2,1,0.086211697,0.101534511,0.096841351,0.097392346,0.089705913
0.1,3,2,2,0.08349031,0.102254234,0.096786269,0.096896437,0.087738914
0.1,3,2,3,0.081969563,0.099102361,0.096400774,0.097447462,0.087902683
0.1,3,3,1,0.080451124,0.101866626,0.096841351,0.097447462,0.087957279
0.1,3,3,2,0.09530018,0.096786269,0.096896437,0.097282123,0.089760607
