conc,rain_setting,exp,rep,Attribute,Value
0.1,1,1,1,cloudy,0.099986095
0.1,1,1,1,umbrella,0.099986095
0.1,1,1,1,em_tskew,0.099986095
0.1,1,1,1,em_t,0.099986095
0.1,1,1,2,cloudy,0.099986095
0.1,1,1,2,umbrella,0.100041354
0.1,1,1,2,em_tskew,0.099986095
0.1,1,1,2,em_t,0.099986095
0.1,1,1,3,cloudy,0.099986095
0.1,1,1,3,umbrella,0.099986095
0.1,1,1,3,em_tskew,0.099986095
0.1,1,1,3,em_t,0.099986095
0.1,1,2,1,cloudy,0.099986095
0.1,1,2,1,umbrella,0.099986095
0.1,1,2,1,em_tskew,0.099986095
0.1,1,2,1,em_t,0.099986095
0.1,1,2,2,cloudy,0.099986095
0.1,1,2,2,umbrella,0.100041354
0.1,1,2,2,em_tskew,0.099986095
0.1,1,2,2,em_t,0.099986095
0.1,1,2,3,cloudy,0.099986095
0.1,1,2,3,umbrella,0.100096617
0.1,1,2,3,em_tskew,0.099986095
0.1,1,2,3,em_t,0.099986095
0.1,1,3,1,cloudy,0.099986095
0.1,1,3,1,umbrella,0.099986095
0.1,1,3,1,em_tskew,0.099986095
0.1,1,3,1,em_t,0.099986095
0.1,1,3,2,cloudy,0.099986095
0.1,1,3,2,umbrella,0.099986095
0.1,1,3,2,em_tskew,0.099986095
0.1,1,3,2,em_t,0.099986095
0.1,1,3,3,cloudy,0.099986095
0.1,1,3,3,umbrella,0.100317697
0.1,1,3,3,em_tskew,0.099986095
0.1,1,3,3,em_t,0.099986095
0.1,1,4,1,cloudy,0.099986095
0.1,1,4,1,umbrella,0.099986095
0.1,1,4,1,em_tskew,0.099986095
0.1,1,4,1,em_t,0.099986095
0.1,1,4,2,cloudy,0.099986095
0.1,1,4,2,umbrella,0.100041354
0.1,1,4,2,em_tskew,0.099986095
0.1,1,4,2,em_t,0.099986095
0.1,1,4,3,cloudy,0.099986095
0.1,1,4,3,umbrella,0.099986095
0.1,1,4,3,em_tskew,0.099986095
0.1,1,4,3,em_t,0.099986095
0.1,1,5,1,cloudy,0.099986095
0.1,1,5,1,umbrella,0.099986095
0.1,1,5,1,em_tskew,0.099986095
0.1,1,5,1,em_t,0.099986095
0.1,1,5,2,cloudy,0.099986095
0.1,1,5,2,umbrella,0.099986095
0.1,1,5,2,em_tskew,0.099986095
0.1,1,5,2,em_t,0.099986095
0.1,1,5,3,cloudy,0.099986095
0.1,1,5,3,umbrella,0.099986095
0.1,1,5,3,em_tskew,0.099986095
0.1,1,5,3,em_t,0.099986095
0.1,2,1,1,cloudy,0.097116811
0.1,2,1,1,umbrella,0.099930839
0.1,2,1,1,em_tskew,0.09943367
0.1,2,1,1,em_t,0.099378444
0.1,2,1,2,cloudy,0.098495247
0.1,2,1,2,umbrella,0.099820335
0.1,2,1,2,em_tskew,0.099102361
0.1,2,1,2,em_t,0.099047154
0.1,2,1,3,cloudy,0.095795297
0.1,2,1,3,umbrella,0.099654603
0.1,2,1,3,em_tskew,0.099378444
0.1,2,1,3,em_t,0.099212785
0.1,2,2,1,cloudy,0.099323221
0.1,2,2,1,umbrella,0.100041354
0.1,2,2,1,em_tskew,0.09943367
0.1,2,2,1,em_t,0.099323221
0.1,2,2,2,cloudy,0.098164249
0.1,2,2,2,umbrella,0.100317697
0.1,2,2,2,em_tskew,0.099157572
0.1,2,2,2,em_t,0.099102361
0.1,2,2,3,cloudy,0.097282123
0.1,2,2,3,umbrella,0.101755909
0.1,2,2,3,em_tskew,0.098936748
0.1,2,2,3,em_t,0.098936748
0.1,2,3,1,cloudy,#NUM!
0.1,2,3,1,umbrella,0
0.1,2,3,1,em_tskew,0.000250094
0.1,2,3,1,em_t,2.147470351
0.1,2,3,2,cloudy,#NUM!
0.1,2,3,2,umbrella,0
0.1,2,3,2,em_tskew,0
0.1,2,3,2,em_t,1.95167819
0.1,2,3,3,cloudy,#NUM!
0.1,2,3,3,umbrella,0
0.1,2,3,3,em_tskew,6.684361696
0.1,2,3,3,em_t,2.834214095
0.1,2,4,1,cloudy,0.09629066
0.1,2,4,1,umbrella,0.099654603
0.1,2,4,1,em_tskew,0.099157572
0.1,2,4,1,em_t,0.099102361
0.1,2,4,2,cloudy,0.098219408
0.1,2,4,2,umbrella,0.099820335
0.1,2,4,2,em_tskew,0.09954413
0.1,2,4,2,em_t,0.099488899
0.1,2,4,3,cloudy,0.098219408
0.1,2,4,3,umbrella,0.099820335
0.1,2,4,3,em_tskew,0.099323221
0.1,2,4,3,em_t,0.099323221
0.1,2,5,1,cloudy,0.098440073
0.1,2,5,1,umbrella,0.09943367
0.1,2,5,1,em_tskew,0.09943367
0.1,2,5,1,em_t,0.09943367
0.1,2,5,2,cloudy,0.096896437
0.1,2,5,2,umbrella,0.099820335
0.1,2,5,2,em_tskew,0.099268002
0.1,2,5,2,em_t,0.099212785
0.1,2,5,3,cloudy,0.09954413
0.1,2,5,3,umbrella,0.09954413
0.1,2,5,3,em_tskew,0.09943367
0.1,2,5,3,em_t,0.09943367
0.1,3,1,1,cloudy,0.091512401
0.1,3,1,1,umbrella,0.102697398
0.1,3,1,1,em_tskew,0.097061713
0.1,3,1,1,em_t,0.097227016
0.1,3,1,2,cloudy,0.082621029
0.1,3,1,2,umbrella,0.09805394
0.1,3,1,2,em_tskew,0.095850326
0.1,3,1,2,em_t,0.0965109
0.1,3,1,3,cloudy,0.092883127
0.1,3,1,3,umbrella,0.098771162
0.1,3,1,3,em_tskew,0.096180558
0.1,3,1,3,em_t,0.096786269
0.1,3,2,1,cloudy,0.086211697
0.1,3,2,1,umbrella,0.101534511
0.1,3,2,1,em_tskew,0.096841351
0.1,3,2,1,em_t,0.097392346
0.1,3,2,2,cloudy,0.08349031
0.1,3,2,2,umbrella,0.102254234
0.1,3,2,2,em_tskew,0.096786269
0.1,3,2,2,em_t,0.096896437
0.1,3,2,3,cloudy,0.081969563
0.1,3,2,3,umbrella,0.099102361
0.1,3,2,3,em_tskew,0.096400774
0.1,3,2,3,em_t,0.097447462
0.1,3,3,1,cloudy,0.080451124
0.1,3,3,1,umbrella,0.101866626
0.1,3,3,1,em_tskew,0.096841351
0.1,3,3,1,em_t,0.097447462
0.1,3,3,2,cloudy,0.09530018
0.1,3,3,2,umbrella,0.096786269
0.1,3,3,2,em_tskew,0.096896437
0.1,3,3,2,em_t,0.097282123
0.1,3,3,3,cloudy,0.083272919
0.1,3,3,3,umbrella,0.098715973
0.1,3,3,3,em_tskew,0.096455836
0.1,3,3,3,em_t,0.096565968
0.1,3,4,1,cloudy,0.084523565
0.1,3,4,1,umbrella,0.097667957
0.1,3,4,1,em_tskew,0.096455836
0.1,3,4,1,em_t,0.096676112
0.1,3,4,2,cloudy,0.093926138
0.1,3,4,2,umbrella,0.099212785
0.1,3,4,2,em_tskew,0.09629066
0.1,3,4,2,em_t,0.096565968
0.1,3,4,3,cloudy,0.08349031
0.1,3,4,3,umbrella,0.105027238
0.1,3,4,3,em_tskew,0.097006618
0.1,3,4,3,em_t,0.097171912
0.1,3,5,1,cloudy,0.080288571
0.1,3,5,1,umbrella,0.101755909
0.1,3,5,1,em_tskew,0.096841351
0.1,3,5,1,em_t,0.097171912
0.1,3,5,2,cloudy,0.090526639
0.1,3,5,2,umbrella,0.099157572
0.1,3,5,2,em_tskew,0.096235608
0.1,3,5,2,em_t,0.096565968
0.1,3,5,3,cloudy,0.093541744
0.1,3,5,3,umbrella,0.100262422
0.1,3,5,3,em_tskew,0.096345716
0.1,3,5,3,em_t,0.096841351
