conc,rain_setting,exp,rep,n_tot,n_neg,n_rain,n_pos,estLambda
0.1,1,1,1,20000,18097,0,1903,0.099986095
0.1,1,1,2,20000,18097,0,1903,0.099986095
0.1,1,1,3,20000,18097,0,1903,0.099986095
0.1,1,2,1,20000,18096,0,1904,0.100041354
0.1,1,2,2,20000,18096,0,1904,0.100041354
0.1,1,2,3,20000,18097,0,1903,0.099986095
0.1,1,3,1,20000,18097,0,1903,0.099986095
0.1,1,3,2,20000,18097,0,1903,0.099986095
0.1,1,3,3,20000,18097,0,1903,0.099986095
0.1,1,4,1,20000,18097,0,1903,0.099986095
0.1,1,4,2,20000,18096,0,1904,0.100041354
0.1,1,4,3,20000,18097,0,1903,0.099986095
0.1,1,5,1,20000,18097,0,1903,0.099986095
0.1,1,5,2,20000,18097,0,1903,0.099986095
0.1,1,5,3,20000,18097,0,1903,0.099986095
0.1,2,1,1,20000,18118,0,1882,0.098826354
0.1,2,1,2,20000,18118,0,1882,0.098826354
0.1,2,1,3,20000,18121,0,1879,0.098660787
0.1,2,2,1,20000,18112,0,1888,0.099157572
0.1,2,2,2,20000,18116,0,1884,0.098936748
0.1,2,2,3,20000,18126,0,1874,0.098384902
0.1,2,3,1,3999,3998,0,1,0.000250094
0.1,2,3,2,3999,3999,0,0,0
0.1,2,3,3,3999,3998,0,1,0.000250094
0.1,2,4,1,20000,18126,0,1874,0.098384902
0.1,2,4,2,20000,18119,0,1881,0.098771162
0.1,2,4,3,20000,18125,0,1875,0.098440073
0.1,2,5,1,20000,18119,0,1881,0.098771162
0.1,2,5,2,20000,18126,0,1874,0.098384902
0.1,2,5,3,20000,18115,0,1885,0.098991949
0.1,3,1,1,20000,18274,0,1726,0.090252989
0.1,3,1,2,20000,18256,0,1744,0.09123848
0.1,3,1,3,20000,18278,0,1722,0.090034123
0.1,3,2,1,20000,18284,0,1716,0.089705913
0.1,3,2,2,20000,18320,0,1680,0.087738914
0.1,3,2,3,20000,18317,0,1683,0.087902683
0.1,3,3,1,20000,18316,0,1684,0.087957279
0.1,3,3,2,20000,18283,0,1717,0.089760607
0.1,3,3,3,20000,18272,0,1728,0.09036244
0.1,3,4,1,20000,18247,0,1753,0.091731591
0.1,3,4,2,20000,18263,0,1737,0.090855118
0.1,3,4,3,20000,18258,0,1742,0.091128933
0.1,3,5,1,20000,18305,0,1695,0.088558027
0.1,3,5,2,20000,18305,0,1695,0.088558027
0.1,3,5,3,20000,18306,0,1694,0.088503399
0.1,4,1,1,20000,18470,0,1530,0.079584479
0.1,4,1,2,20000,18475,0,1525,0.079313807
0.1,4,1,3,20000,18467,0,1533,0.079746918
0.1,4,2,1,20000,18456,0,1544,0.080342753
0.1,4,2,2,20000,18470,0,1530,0.079584479
0.1,4,2,3,20000,18527,0,1473,0.076503146
0.1,4,3,1,20000,18415,0,1585,0.082566724
0.1,4,3,2,20000,18441,0,1559,0.081155827
0.1,4,3,3,20000,18451,0,1549,0.080613704
0.1,4,4,1,20000,18527,0,1473,0.076503146
0.1,4,4,2,20000,18476,0,1524,0.079259681
0.1,4,4,3,20000,18504,0,1496,0.077745349
0.1,4,5,1,20000,18407,0,1593,0.083001247
0.1,4,5,2,20000,18419,0,1581,0.082349533
0.1,4,5,3,20000,18384,0,1616,0.084251552
0.4,1,1,1,20000,13406,0,6594,0.400029906
0.4,1,1,2,20000,13406,0,6594,0.400029906
0.4,1,1,3,20000,13406,0,6594,0.400029906
0.4,1,2,1,20000,13406,0,6594,0.400029906
0.4,1,2,2,20000,13406,0,6594,0.400029906
0.4,1,2,3,20000,13405,0,6595,0.400104502
0.4,1,3,1,20000,13406,0,6594,0.400029906
0.4,1,3,2,20000,13406,0,6594,0.400029906
0.4,1,3,3,20000,13406,0,6594,0.400029906
0.4,1,4,1,20000,13406,0,6594,0.400029906
0.4,1,4,2,20000,13406,0,6594,0.400029906
0.4,1,4,3,20000,13406,0,6594,0.400029906
0.4,1,5,1,20000,13406,0,6594,0.400029906
0.4,1,5,2,20000,13406,0,6594,0.400029906
0.4,1,5,3,20000,13405,0,6595,0.400104502
0.4,2,1,1,20000,13466,0,6534,0.395564283
0.4,2,1,2,20000,13494,0,6506,0.393487131
0.4,2,1,3,20000,13473,0,6527,0.395044591
0.4,2,2,1,20000,13479,0,6521,0.394599355
0.4,2,2,2,20000,13474,0,6526,0.394970371
0.4,2,2,3,20000,13486,0,6514,0.394080163
0.4,2,3,1,20000,13481,0,6519,0.394450987
0.4,2,3,2,20000,13474,0,6526,0.394970371
0.4,2,3,3,20000,13484,0,6516,0.394228476
