"conc","rain_setting","exp","rep","n_tot","n_neg","n_rain","n_pos","estLambda"
"0.1","1","1","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","1","2","20000","18096","1","1903","0.100041354180226"
"0.1","1","1","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","2","2","20000","18096","1","1903","0.100041354180226"
"0.1","1","2","3","20000","18095","2","1903","0.100096616538285"
"0.1","1","3","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","3","3","20000","18091","6","1903","0.100317696514867"
"0.1","1","4","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","4","2","20000","18096","1","1903","0.100041354180226"
"0.1","1","4","3","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","1","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","2","20000","18097","0","1903","0.0999860948759269"
"0.1","1","5","3","20000","18097","0","1903","0.0999860948759269"
"0.1","2","1","1","20000","18098","22","1880","0.0999308386250495"
"0.1","2","1","2","20000","18100","22","1878","0.0998203352822109"
"0.1","2","1","3","20000","18103","27","1870","0.0996546031601842"
"0.1","2","2","1","20000","18096","22","1882","0.100041354180226"
"0.1","2","2","2","20000","18091","29","1880","0.100317696514867"
"0.1","2","2","3","20000","18065","64","1871","0.101755908954387"
"0.1","2","3","1","3999","3999","0","0","0"
"0.1","2","3","2","3999","3999","0","0","0"
"0.1","2","3","3","3999","3999","0","0","0"
"0.1","2","4","1","20000","18103","24","1873","0.0996546031601842"
"0.1","2","4","2","20000","18100","23","1877","0.0998203352822109"
"0.1","2","4","3","20000","18100","29","1871","0.0998203352822109"
"0.1","2","5","1","20000","18107","11","1882","0.0994336697154855"
"0.1","2","5","2","20000","18100","27","1873","0.0998203352822109"
"0.1","2","5","3","20000","18105","10","1885","0.0995441303363865"
"0.1","3","1","1","20000","18048","193","1759","0.102697398238343"
"0.1","3","1","2","20000","18132","109","1759","0.0980539404753882"
"0.1","3","1","3","20000","18119","116","1765","0.0987711621000205"
"0.1","3","2","1","20000","18069","170","1761","0.101534510824297"
"0.1","3","2","2","20000","18056","179","1765","0.102254234038756"
"0.1","3","2","3","20000","18113","123","1764","0.0991023610432115"
"0.1","3","3","1","20000","18063","188","1749","0.101866626403571"
"0.1","3","3","2","20000","18155","66","1779","0.0967862686876919"
"0.1","3","3","3","20000","18120","119","1761","0.0987159729391577"
"0.1","3","4","1","20000","18139","84","1777","0.0976679571781586"
"0.1","3","4","2","20000","18111","132","1757","0.0992127850715922"
"0.1","3","4","3","20000","18006","224","1770","0.105027237867706"
"0.1","3","5","1","20000","18065","171","1764","0.101755908954387"
"0.1","3","5","2","20000","18112","145","1743","0.0991575715332186"
"0.1","3","5","3","20000","18092","143","1765","0.100262421938394"
"0.1","4","1","1","20000","18098","271","1631","0.0999308386250495"
