"Target1","Target2","Target3","NTC1","NTC2","NTC3"
2231.04867642029,2392.53365821163,1577.93823428625,1980.90477672991,2146.05719406302,1770.35295406176
2197.44191189206,2190.19325001511,2018.70622791942,2387.30367128684,1900.61267318276,1900.70099152091
1958.01427673007,2097.97678282772,1836.79037919836,2247.62531977605,1952.97575362675,1805.32571919059
1747.04725279036,1794.66962833936,2133.13440756085,1568.70883055856,2079.64105437804,1687.73206542533
2227.56471948148,2006.30451830171,2380.48666752016,2095.7492896904,2306.3328097607,1521.5080601384
2351.40526060982,1742.77594183381,1849.75584358691,2064.70048117263,2048.92542084662,2702.53725540602
2238.41330272877,1976.43002695067,1967.44508192857,1851.82550026997,2018.97266572539,1876.05660324229
1809.13872785813,1756.68861457821,2075.22693732688,1960.42894034007,1974.47893124464,1875.14935870891
2034.44377238762,2046.24854287521,2300.17115138682,2031.53175359251,1963.54810707364,2231.1969541483
2064.14353033442,1747.23441590276,2082.86548786119,2181.68788741811,1637.6455764103,1960.45200839433
1890.86317841122,1973.39373171641,1632.84685058186,2204.7657509656,2138.12697847496,1822.12848415338
1941.77905494771,1813.13696905392,1896.24452263456,2248.82372455254,1865.54139189844,1857.0242238469
2040.41895447229,1959.66417919257,1956.01777314193,2192.63216713721,1935.76889034651,1987.15115252363
2082.4601301514,2087.98554227704,2038.65411968817,1995.77867363582,2043.84850034151,2229.28563383502
2248.2449730919,1746.33680352062,1858.66853937093,1901.30167509891,1625.47932272928,2108.45324563113
1635.97840901471,1992.54387061258,1964.356466083,2027.62963102054,1876.93601569288,1602.16340114477
2020.5589607026,2096.35827125935,1708.17053636018,2022.64197174048,1977.95147128993,1851.83277409294
2081.5800537639,2079.22820680024,1865.28340364552,2161.12861994112,2380.59081747214,2048.97000011699
1727.33248101191,1952.27360762912,1552.72586920389,2108.88169163236,2322.89689430949,2203.48022148274
2393.47645609119,2422.45743890668,2058.38478673321,2098.50958238625,2016.00485098815,1835.5907959013
2012.26993922119,1526.86099913776,1909.40473299164,1690.07638890597,1519.12728961589,1540.38243838821
1874.03362694996,1783.3638349364,2389.16658170814,1715.30806761382,2103.90979588814,1876.89487344099
2057.4918350657,2408.24557393156,1450.46845593657,2332.35684024801,2196.20106467194,2056.10160935911
1897.46945667791,1709.95334634122,2157.01697500428,2095.90501738061,1683.79690150519,2284.42625684603
1840.45256275895,1895.06583324916,1945.88838574789,2071.7720968188,2301.20460746092,1789.43786567091
1859.94468941227,1939.84448180668,1844.67390316171,2046.09557258573,2272.50684429336,1860.51803959371
2111.28681028169,2152.99111499263,1851.25508896059,2272.32788653485,1489.6341411559,1959.63799031262
2182.9125665654,2272.25668780947,2244.83288074861,1910.85715742154,2051.91263118662,1893.06646105728
2291.50947585835,2335.5761515667,1857.40827524152,1874.48067914478,2388.4742507002,2496.67572534023
