"Target1","Target2","Target3","NTC1","NTC2","NTC3"
1890.60677470134,1797.49261463646,2024.59695542426,2339.71043601766,1793.82578562854,2106.97187667498
2294.28765554944,1574.32710042876,2357.46181240347,1551.02713422108,2258.71235846054,1881.49464617686
1842.50638840446,1671.9400778209,2278.75295672392,2251.27323128557,2116.34684887607,2347.07848335984
2277.52987338541,1682.18490642217,1999.26232541247,2363.23366496348,2339.37524753811,2034.00213820556
1589.56724197526,1670.28536022644,2317.5662983689,1847.31483912141,1705.69662678897,2143.04758034415
2177.70958921687,2327.66163935156,1707.92611861329,1970.13525950038,2067.60438148248,2103.85007517152
2557.29776784535,2096.64943340747,1690.41805234604,1922.52683561825,2098.17878240966,1819.29700828163
2067.64030372117,2032.18572963632,1870.22879293702,2337.16817326941,1726.67082139967,1847.790770228
1722.88552131724,1811.05012220383,1789.37398252377,1805.71318888669,2035.29096572502,2190.31713976955
2505.70476221568,2099.05964380406,1616.36527617077,1538.56492352855,2112.21509503653,1862.642980998
1820.57085014577,1640.76558022931,1599.82128866665,1855.90485000067,2781.56040382805,2138.40192505225
2212.53486498214,1791.32636352403,1849.75433509051,1681.56691660017,1789.52945496273,2065.15745322963
2328.13048197237,2038.54032344939,1909.92964386905,2403.06675098658,1885.77270800576,2088.98927810677
1818.19421626409,1994.05223483869,2034.69660387138,2551.40704072299,2034.97311517005,2167.09160375745
1703.46366905877,1963.741128174,2183.49558023591,1771.70697340589,2152.43890803949,1918.32167812129
1839.68343390396,2036.97899146682,2243.54407332279,2091.21534056121,1671.64504986022,1795.32183550663
2432.4318770697,1958.54319545738,2095.50798338104,1909.32714464873,2397.04684670295,1631.67837847788
1791.16219104671,2407.41240171342,1996.01691254599,2089.23758803828,2041.07789036792,2446.50847190335
1387.84416082585,2387.60088533748,1864.33478046362,1772.40760404867,2306.10072470042,2262.46143301917
1737.51831360427,2017.99447930599,2220.70598988499,2125.55092791216,1488.85433142288,2216.11368980742
2249.83204276524,2076.44014128806,2101.11640430392,1888.68065843468,1765.57407019435,2107.92856541253
1832.72139900518,2366.07306954176,2345.26435910279,2176.49006963417,1628.20964320425,2465.54458452113
1629.0938015148,1874.90219508611,2096.40904702124,2071.07617072911,2442.84223355656,1938.33184930476
2253.05671714934,1788.3409760097,1692.253879705,1915.21086691386,1789.40653740971,2005.8436261146
1844.57915538512,2015.4976704018,1948.64942962332,1936.69441233171,1949.18176374284,2545.4879640776
2535.90548377804,2062.93189327941,2197.86745495929,1874.88755516047,1849.14097734231,2105.93663645813
1868.34667518256,1646.0408950277,2590.22597596335,2167.05387964468,1946.52364288866,2395.8742286539
1920.51758085724,1923.02430527318,2162.10056160145,2375.2898717494,2133.04219731233,1879.87644639394
1909.26842057032,2236.14414560625,2339.44871392331,1883.25962867761,1736.85143167588,1560.78201364409
2426.7487957238,1856.00700662029,1994.64719905598,2313.06899418754,1879.01591619011,1559.12908182954
2067.80748734663,1877.10811028164,1788.39739411034,2196.24943190525,1865.94176546438,2221.80662227001
1885.55775833846,1798.0723152902,2508.91837780747,1717.97587361962,2236.22473476576,2054.06363469128
2277.22624725991,2344.93508853009,1994.39856568696,2381.86042192607,1690.80930683217,2029.20948833894
2483.47426069918,2087.46928055385,2055.03540278957,2204.04425067773,2092.14721149459,1991.2979186617
1992.19247519208,1781.95767275851,2356.1266586504,1892.75071127305,1764.83965447464,1904.3125334875
2142.29284733771,1938.73123568263,2051.99128400682,1967.69332842912,1767.4350899593,2025.21588924456
1840.49518929046,2038.1151093915,2034.06582155017,1897.36722863285,1820.73673640286,2390.49283331705
2159.35809227687,1549.19312549104,1771.42802612724,2345.6551234135,2145.93875313729,1944.28134803576
2212.30143491558,2191.72196176891,2080.78052354964,1852.67582369673,2104.06852186836,1813.71226062576
1848.83052223981,2009.66624104197,1640.44478472567,1941.19823247287,2615.45311847742,1911.81468972592
2130.79053467024,1538.42316706363,2032.6831011321,2048.63028420743,2237.64736875182,1678.13229212637
2073.33177782875,1964.69684234789,1715.75437344895,1778.47477500209,1707.9426650838,2063.70612330671
1897.42477286092,2360.89562175661,1606.07321470872,2017.50457480993,2072.83593278843,2170.57353506776
2036.75140421475,1967.45848274303,2193.60319780285,2117.23848955793,2335.29631809639,2026.55225698787
1583.81563874265,1998.28013778121,2184.24779774116,1952.61103669978,1740.20707431498,1919.37203035721
1830.99220233889,1865.76201824985,1766.82175561664,1960.04700187949,2134.12723106814,1881.10547381093
2481.09119070959,1985.4819981876,2025.07783718691,1799.70895279353,1910.00249908612,2347.89073921652
2090.64879070133,1829.92394775012,1818.53704632301,1754.1684789716,2238.19052246518,1940.55622099543
1902.37537085702,1832.04481851385,1902.85328182816,2391.02401047098,1648.24223902231,1946.88689460804
1944.22125107302,2254.2213426361,1773.92321464134,2145.46806756417,1998.69566362909,1811.19322545929
1766.76085531842,1834.697311081,1993.08460755591,2446.26178725336,2074.2664958257,2029.38388891741
2203.96389574579,2267.48504476929,2449.15278213525,1777.08383657932,1911.21672107343,2228.22745456453
2172.93124755777,2388.63476021288,2145.1978771159,2132.88075753916,2064.35377288748,1887.97852868957
1760.99373700386,2073.77212265724,1861.42190991313,2011.75167691353,1889.44075403057,1568.41060967099
2116.29613442807,1842.639592722,1662.3227899522,2040.83680777642,1718.93178608753,2313.47446788109
2625.21045831607,1896.06542014847,1781.65705685688,1972.60179323852,2031.90807124278,2041.09919096356
2339.70553152594,1991.82264725458,2278.47428309304,2099.48324440784,1860.23982476881,1958.06210083527
2063.74685248572,1828.50278868181,1834.63278001981,2187.18735531302,1896.88530759811,2216.48812696158
1690.20937157448,2033.2490563891,2046.49431319318,2091.47958134958,2083.87592384635,1843.39705107627
2084.96793387903,2067.92888996613,1720.17894789454,1665.72572794338,1596.79231251795,1802.9003454041
2190.75962355456,2054.74412814487,1915.35290238651,2462.27460138353,2170.65104950333,2534.41245773855
1784.66124149559,1806.7350067413,1585.21462546902,2128.40157037645,1902.63687000979,1580.52854086085
1877.99232208967,2373.72688679915,2284.48192568919,1946.97845690888,2250.27178649329,1899.26804963422
1954.61132663847,1911.10112523051,2361.63752006047,1982.36909719143,2052.79826829651,2371.4103817161
2199.87778965815,1850.58767040974,2215.83461493832,2236.32161046394,2024.79929494245,1756.40421741403
1960.54089047741,1981.46589584347,2255.63443731411,1987.8397657941,1764.83988545972,1922.12885567962
1960.78653709903,2110.75208297692,1916.38233891078,2001.50108699893,2013.98669097808,2031.31263651042
1752.70811655556,1640.38525171289,2276.17472544154,1725.20941391153,2348.19416100548,2507.7330329875
2403.99757652488,2059.08950093878,2150.10755326361,1876.25968221018,2395.47302133243,2313.59156557272
1966.46928972441,1806.68323156728,1795.49427705683,2627.91160983507,1771.73961177966,2196.96356021113
2030.49442867615,2256.25621858314,2019.93288621151,2135.91011917611,1828.66604140755,2132.13664556598
1839.67047795924,1888.337881357,2053.086208072,2632.14718852438,2000.47462186422,1969.10884262597
1743.22579994025,1877.12062844061,1485.49328001718,2059.96464916496,2095.32664969509,1530.72848433544
2472.23253294696,2120.93311045493,1881.28588007345,2015.96454900846,2512.9571011851,1727.22005768558
1642.02941713629,2148.93646009828,2108.72754754244,1565.12867133699,1585.36496230201,2002.28697584671
1961.15290532025,1671.44992381726,1949.46045726159,1676.09914901028,2177.46995568469,1879.2107944341
2202.89578286913,2012.55156130438,1909.45309964454,1789.99798537942,2096.78780664903,2072.3476726549
2082.05976288561,1919.50060821324,2169.37685759224,2246.61440394565,2022.70717088443,2355.69085843046
2244.59339827012,1903.17376881297,2112.44398581764,1936.04598858097,2432.03716821721,2280.51040682709
2026.4531155663,1776.68450799271,2564.99377693727,1795.55275005676,1667.73122889673,1940.42653563022
1953.38604820556,2199.32456065074,2134.3227539133,1899.21717739572,1759.37609090572,1976.22845032561
1925.77559261172,1674.01041196612,1821.86555555074,2497.76308132429,2247.05985919958,1859.7653513143
2728.82024641822,1730.18495178146,1872.70072955269,1928.56727140006,1541.99242402045,1899.25624560655
2253.80116725374,2320.51239097346,1781.20823758633,1633.67230627912,2275.80092062196,2465.13282677118
1960.26891637541,1762.11059744774,1933.70547257818,1994.19595691121,1920.84415497791,1987.18071326015
