"Target1","Target2","Target3","NTC1","NTC2","NTC3"
2069.88917630339,2185.44576079068,1884.44660084144,2069.58749260531,2011.00890554498,2058.27473964033
2291.7515841666,2034.13564845914,2083.63388826446,1917.89247364109,2130.06296189442,2103.66134550352
2142.71693471383,2284.90215582977,2159.90242536431,2055.68697271973,1966.38000373773,2171.38371545779
2094.53894111515,2261.38274767014,1825.60406552777,1846.93872376643,2098.62907242572,2033.84342161767
1688.49284402372,1714.7878527891,1870.33499745031,2132.74195281949,1746.22774389463,2136.29850344813
1860.87862351479,2058.18201265045,1793.31022376273,2170.80233099638,2485.24886879193,2302.0058921895
2252.22738376216,2342.04560301969,2120.28918478359,2199.07433670987,2251.90249256278,2025.58213721916
2100.89968845323,1980.80844721274,1592.34030609676,1800.84939871772,2013.92200261848,1688.94785048136
1938.40160319796,1871.00511144297,1783.19378994645,2102.31663449939,1652.95195391551,1970.52733639294
2404.12232877497,2226.87923650075,2546.68144980609,2100.88476866541,1692.33624372676,2042.42271428633
1901.30056824897,2355.2843243861,1976.72717477577,1945.20226885155,2439.50389759311,2200.29569137048
1899.08859740568,2155.45945035353,1969.6796364003,2099.94616938884,1939.47383130702,1925.70661054155
2132.24448769518,2123.40981213777,1968.94588897486,1911.14587846317,2410.30087274469,1638.64689989632
2114.6264636426,1766.36928600172,1747.15175897414,1806.7264331331,2134.82105534555,2009.68919477566
2082.31912051425,1737.41053648038,2396.09498663805,2001.15110015239,1452.1245057444,1913.83547904704
1463.11524726394,2163.92031013821,1550.67059332456,1619.2479018632,2337.00140793931,2151.42175495225
1762.66323123758,1867.92755735391,2302.34414355988,1670.68260523221,2376.99929592131,2093.53012403951
1958.57551453352,2103.11086642779,2149.26846541863,1658.34859717165,1689.65821881311,1783.32405196276
2006.54820125418,2424.52920226699,2314.71267568742,1714.76928966517,1984.46786887616,1840.28896200889
2086.47023171249,2129.54541587085,2026.43287770765,1814.77826238379,1363.71913124857,1889.38911475257
2061.37299696307,2078.60223918781,1896.72689893655,2160.01250462133,1965.56227866811,1735.84924525792
2174.64709809136,1733.21953197796,2338.81087269792,1487.95262939408,2223.15680342448,1730.10580574894
2025.95382181213,1596.47976795006,2076.45029662387,1991.64147049027,1981.42115935848,1829.29489458661
1974.91318649557,1721.61551524044,1871.57541539562,2194.54279080294,1944.69967328872,1936.76751430611
1904.15326902273,1976.39393068641,2078.03316456351,1753.63079829122,1980.37962369636,1449.22487379461
2117.33166511768,2043.23465092168,1882.18672025756,2281.01103197079,2351.57170015751,1714.48394811388
2106.71065364679,1829.34928243753,2303.70893467272,2021.1460026791,1952.15774426649,2136.74517762948
1958.1855734515,1757.39430621446,1998.42459851876,2017.01358743012,1907.81615359798,2120.13127713573
1939.9637909885,2011.74806893756,2180.43544859842,1912.28440478462,1962.32470176565,1991.91850178271
2055.83964064206,2121.36906016381,2106.67959684095,2011.59644282336,1978.23142567398,1869.06178789477
1703.57157602049,1885.27731535558,1953.65883577944,2073.0134075298,1886.13077716854,2053.73880997573
2005.28097314997,1645.77769799072,2055.97069339604,2365.46466184113,1797.16558968356,1801.74880633455
1626.87886115813,1862.20044774674,1844.30354596079,1751.46534935614,2224.21401206974,2110.52021330214
2208.71649353679,1855.62475817218,1934.16038079651,2082.37418671808,2008.78592217113,2203.09414230276
1905.11318680713,1713.0672870543,1898.0161567104,1675.45256804543,1692.38306400526,2063.50797677049
1870.66837583667,1981.9104087179,1213.95733759421,2140.63924330566,1961.22076438335,1973.71003177487
1788.32858310313,1807.19196595965,1780.99526510119,1696.98813773258,2244.24271382124,2060.17973598913
2317.57872343835,2058.08880400049,2160.55768763227,2422.91931921744,2204.0833269244,2175.29452139503
2125.48034842133,2081.60509803117,1836.24162556994,2168.22727703978,2051.45096075228,1940.0620574969
2819.78118083698,2260.62867979477,2081.99437933734,1698.85026410699,1905.28759167454,1963.13999252793
2233.54561211522,1922.60914290028,2166.29290196193,1962.34545239355,2321.16276930496,2009.34587903767
2028.34813670663,2060.83498895477,1845.68472009962,1821.00684335714,2065.1288452,2532.65705417809
2018.97228040107,1877.40824109119,2243.49728949525,1996.0030763411,1852.50985584911,1900.67492227038
1724.20810293567,1659.40109201293,1631.75745170627,1951.30075040015,2088.91948158942,1837.03158652013
2342.05170465152,2251.93186824317,1695.79517686691,2057.78869935308,2099.66022680002,1660.05674324118
1985.06162374013,2186.44794397791,2202.28872769412,2049.97855747305,1592.44950387133,1773.55385138523
2207.16602979801,2087.62421075585,1793.35235831332,2143.79453726565,2101.76298576232,1528.10418811269
1822.83474744348,1972.60842038235,1930.64069159751,2127.22729559713,1917.78652645879,2437.4913267403
1772.99504361676,1507.97873382737,1917.17238917571,2167.62671731101,2083.31407173842,2099.10730392252
